word,count
commei,1
fcript,1
meil,1
pier,1
quenoz,1
ducatz,1
noz,1
marez,1
vfer,1
ledouble,1
annecs,1
frá,1
turcau,1
cagéles,1
icfté,1
ia,1
lls,1
caufele,1
affe,1
faceferuir,1
cognu,1
tibere,1
efcornez,1
diſons,1
neant,1
vntemps,1
armecs,1
feroyentre,1
derechef,1
matieres,1
môftré,1
foudaï,1
có,1
emportegran,1
queefpagnol,1
iugemens,1
aportoit,1
moyé,1
lieure,1
requeíte,1
iuf,1
ttt,1
fice,1
ba,1
zant,1
cefsionnaires,1
eflat,1
argumentauqu,1
sicile,1
toufiouts,1
auoitle,1
trouuer,1
hauffant,1
ftemes,1
pouuons,1
debœufs,1
donnéla,1
bafto,1
didius,1
levigneron,1
;&,1
réprouucr,1
efpa,1
fepe,1
donneroit,1
troyeen,1
eftienne,1
iuges,1
trentele,1
oraytiamais,1
ícript,1
rgent,1
appelloyét,1
auguſte,1
eftantle,1
vaudroyét,1
preticufes,1
pyrenees,1
croiftre,1
achapt,1
vneimpofture,1
difciple,1
xir,1
neceſſaire,1
peuuent,1
afoiblirla,1
eftroittement,1
tcs,1
puifsa,1
comele,1
víuraires,1
quiconques,1
micux,1
gabale,1
executees,1
k,1
coparaifon,1
enont,1
neceflaire,1
trouuósaux,1
feconde,1
queie,1
ae,1
gradeur,1
appellecommeon,1
meftier,1
fain,1
pofons,1
ol,1
banquetz,1
diterrance,1
enuoye,1
bho,1
queles,1
defendoit,1
necefsite,1
coufteroittrop,1
quivoudra,1
urages,1
surie,1
traint,1
regiftre,1
confetfe,1
adrian,1
iettant,1
haufse,1
rouilleure,1
ciquiefme,1
firaau,1
monnoye,1
fo,1
péfent,1
royau,1
fieur,1
onol,1
voyla,1
fagemen,1
efpagnol,1
eff,1
edi,1
genes,1
troifiefme,1
foyes,1
cea,1
moftral,1
nons,1
punique,1
rité,1
lacharettec,1
contrechange,1
bell,1
aporterent,1
ftrer,1
lo,1
medicis,1
jen,1
tra,1
aprouuer,1
piftolets,1
deuc,1
apelles,1
fot,1
appelloyentleur,1
celfe,1
roys,1
teímoignent,1
ciuiles,1
empefcher,1
rabaifler,1
fe,1
carles,1
aflemblent,1
delaterrea,1
quàd,1
particaufsi,1
ilauoitle,1
apresla,1
nee,1
reuenu,1
tn,1
peuplede,1
douzemarcs,1
touchécy,1
extraiët,1
detragedies,1
lestraiteen,1
lefoufre,1
aymoit,1
vnziefme,1
fagement,1
enuieux,1
yuer,1
porteteímoignageen,1
pourco,1
mcímement,1
appetit,1
chartée,1
plato,1
auenues,1
confequence,1
defédit,1
vferay,1
chreftiens,1
aucclefel,1
hiftoire,1
parthes,1
faumons,1
entremange,1
marchantachepta,1
poindts,1
bufetz,1
efpargne,1
lefon,1
vigt,1
eftoic,1
bailloyent,1
prat,1
caufe,1
talens,1
zeapres,1
facent,1
letitre,1
gueur,1
pam,1
valetz,1
won,1
pre,1
prouifion,1
é,1
femblé,1
lebord,1
lon,1
res,1
efclatant,1
eftrangers,1
quiauez,1
roy,1
norue,1
commerecite,1
orte,1
tiquitez,1
foyenteícuz,1
leuát,1
faifan,1
boisreuenant,1
loire,1
peuplefec,1
degaller,1
cftoit,1
confcience,1
contéte,1
almagne,1
vintz,1
charle,1
payemét,1
intereft,1
fomme,1
foix,1
cofirméàl,1
foixäate,1
nefetrouue,1
feroit,1
auci,1
oftelatrafique,1
quee,1
noftrefel,1
defcorner,1
coufter,1
priuileges,1
arget,1
neurs,1
fcauez,1
deſquels,1
purgation,1
gouuerneà,1
trouucrons,1
celte,1
vc,1
pau,1
detoute,1
prodigalitez,1
meefcript,1
mefmemét,1
gnee,1
pauurehomme,1
coniuration,1
efcoffe,1
acfopeioüeur,1
rain,1
marchandiſes,1
áegyptiens,1
erdonance,1
leu,1
nefçauroyent,1
viét,1
quei,1
pi,1
menage,1
fauffes,1
quetous,1
auifez,1
ocei,1
douzepour,1
cinquatre,1
pm,1
furentforgees,1
pette,1
fignols,1
decadéce,1
donáce,1
mulupliétout,1
attirele,1
feule,1
mettrele,1
faccagea,1
contreuient,1
parlebillon,1
valét,1
cegräd,1
affince,1
ayme,1
ui,1
quils,1
celuy,1
quád,1
abreger,1
raportece,1
aucu,1
chacü,1
beguins,1
faifoitlors,1
cauſe,1
laifans,1
donnéplus,1
philippelelog,1
ouurages,1
degaft,1
iei,1
tro,1
eften,1
pefant,1
quiluy,1
oift,1
tátoft,1
pezant,1
quize,1
flandres,1
exces,1
confi,1
lereuenu,1
vatcu,1
noftreaage,1
yatrois,1
necelsité,1
fougnift,1
aymét,1
ya,1
prisdetoutes,1
sci,1
cft,1
xxr,1
pretieufe,1
quefon,1
declarez,1
affes,1
fir,1
nance,1
delarepub,1
guynee,1
®,1
deportugal,1
friäd,1
fetrouua,1
fçauons,1
efforcet,1
eítle,1
chacellerie,1
defera,1
ita,1
anglois,1
certair,1
domagea,1
impoft,1
guyéne,1
venutant,1
delicatz,1
gre,1
nirl,1
frequentes,1
befoing,1
confeffe,1
auísi,1
veiie,1
monnoyeurs,1
relles,1
muniquer,1
extre,1
ytrafiquoitaucunemét,1
fami,1
degrez,1
ceant,1
guaréd,1
quelemuy,1
ria,1
peupley,1
orrofion,1
armee,1
tréte,1
detrafi,1
fantletout,1
commeiladuint,1
ÿ,1
difentils,1
ls,1
lacoruee,1
aueclalaine,1
eftoyét,1
vntefto,1
ay,1
dreou,1
pourueu,1
latrafique,1
depuise,1
haufsé,1
fortant,1
confume,1
merucille,1
ren,1
aetolie,1
princi,1
lepeze,1
heureuſe,1
len,1
gcois,1
efcu,1
noyea,1
oril,1
liard,1
ftres,1
mefloit,1
efpargneroit,1
plusloig,1
conclufon,1
quer,1
quareíme,1
mefnagerie,1
eflre,1
rez,1
blanque,1
cocs,1
encheriffoyent,1
causéle,1
oint,1
recercher,1
iugem,1
fouuét,1
al,1
chofe,1
pafler,1
pefoyent,1
eftime,1
yfonttrompez,1
cebon,1
xii,1
coupebourfes,1
atgétfut,1
nefaifoyent,1
enuironnez,1
noftres,1
elleeftoit,1
xxx,1
|.,1
honeur,1
feruices,1
uir,1
pru,1
denoftre,1
chantäs,1
nefift,1
noyed,1
plób,1
veri,1
rienen,1
tenoit,1
prins,1
trefmalaifé,1
eftráger,1
triplepour,1
chi,1
poles,1
cofté,1
quiíont,1
emportoyent,1
marchandiſe,1
cofte,1
fauf,1
sil,1
fonten,1
eftát,1
borbonnois,1
aufsiil,1
feigneurs,1
anti,1
aluns,1
efpaigne,1
grace,1
dutemps,1
charlefeptiefme,1
coruees,1
velpafian,1
heliogabale,1
leures,1
beliftres,1
get,1
demou,1
haufler,1
apelle,1
patiece,1
fert,1
lafche,1
onatrouué,1
lydienne,1
lumiere,1
reur,1
incognue,1
bourgo,1
cíqquintaux,1
ioint,1
aportera,1
oixante,1
experience,1
th,1
demye,1
milliures,1
maisil,1
quandil,1
quars,1
general,1
ueux,1
