token_,count
('conftans', ''),3
('', 'tion'),3
('im', ''),3
('', 'bruine'),3
('bruine', ''),3
('fte', ''),3
('', 'refte'),3
('', 'rc'),3
('', 'per'),3
('ts', ''),3
('plante', ''),3
('ex', ''),3
('mefle', ''),3
('', 'differences'),3
('', 'rapportent'),3
('', 'grandes'),3
('herbes', ''),3
('doux', ''),3
('deffus', ''),3
('celeftes', ''),3
('', 'beftes'),3
('terreftres', ''),3
('aquatiques', ''),3
('uc', ''),3
('', 'fouris'),3
('cinq', ''),3
('', 'ccux'),3
('ccux', ''),3
('', 'pluficurs'),3
('marine', ''),3
('cer', ''),3
('', 'bonne'),3
('', 'reftres'),3
('cheual', ''),3
('fecond', ''),3
('', 'ture'),3
('ture', ''),3
('', 'ge'),3
('ge', ''),3
('difpu', ''),3
('', 'enclos'),3
('', 'dis'),3
('ii', ''),3
('fituation', ''),3
('laquel', ''),3
('chacune', 'chose'),3
('quoy', ''),3
('', 'ainf'),3
('', 'ii'),3
('', 'figure'),3
('pesanteur', ''),3
('legereté', ''),3
('mobile', ''),3
('', 'yne'),3
('', 'iceux'),3
('là', 'vient'),3
('endroit', ''),3
('', 'ls'),3
('ve', ''),3
('chose', 'monde'),3
('', 'certes'),3
('certes', ''),3
('', 'dent'),3
('', 'faict'),3
('natute', ''),3
('aristote', ''),3
('philo', ''),3
('', 'hommes'),3
('quelques', 'vns'),3
('', 'ré'),3
('', 'figures'),3
('toute', 'nature'),3
('pur', ''),3
('rerre', ''),3
('limon', ''),3
('pluyes', ''),3
('va', 'fond'),3
('deflus', ''),3
('', 'ble'),3
('cau', ''),3
('cerre', ''),3
('', 'humeur'),3
('', 'reprefente'),3
('', 'ett'),3
('', 'demy'),3
('', 'cit'),3
('', 'pris'),3
('', 'quoy'),3
('', 'ti'),3
('folides', ''),3
('', 'eít'),3
('', 'côme'),3
('', 'leger'),3
('fcu', ''),3
('aftres', ''),3
('faut', 'icy'),3
('', 'efpeffe'),3
('', 'effence'),3
('', 'tire'),3
('', 'faudra'),3
('', 'pourueu'),3
('pourueu', ''),3
('empefche', ''),3
('', 'pefante'),3
('loix', 'nature'),3
('', 'lie'),3
('neant', ''),3
('gran', ''),3
('quelque', 'peu'),3
('allumée', ''),3
