token_,count
('', '', 'pouuoit'),3
('', 'rien', ''),3
('bien', 'noter', ''),3
('', '', 'trou'),3
('', 'humain', ''),3
('', '', 'entre'),3
('marques', '', ''),3
('eten', 'cas', 'pareil'),3
('', 'mort', ''),3
('', 'loy', ''),3
('', 'croire', ''),3
('vertu', 'paroles', ''),3
('veritable', '', ''),3
('', '', 'rm'),3
('', 'rm', ''),3
('rm', '', ''),3
('', 'he', ''),3
('', '', 'loy'),3
('', 'salomon', ''),3
('', 'grand', ''),3
('loy', 'dieu', ''),3
('', 'auons', ''),3
('', '', 'der'),3
('', 'che', ''),3
('', 'caril', ''),3
('moral', '', ''),3
('', '', 'verité'),3
('air', '', ''),3
('peuple', '', ''),3
('cueur', '', ''),3
('literal', '', ''),3
('', 'augustin', ''),3
('', '', 'principalement'),3
('', 'ment', ''),3
('pa', '', ''),3
('', 'be', ''),3
('be', '', ''),3
('mal', '', ''),3
('ls', '', ''),3
('', 'um', ''),3
('', 'rc', ''),3
('', '', 'veut'),3
('', 'veut', ''),3
('deuant', '', ''),3
('charmes', '', ''),3
('parole', 'dieu', ''),3
('', '', 'auoient'),3
('', '', 'lieu'),3
('', 'dira', ''),3
('quoy', '', 'die'),3
('ns', '', ''),3
('com', '', ''),3
('ps', '', ''),3
('ec', '', ''),3
('', '', 'peuples'),3
('', 'depuis', ''),3
('nombre', '', ''),3
('', '', 'meres'),3
('samuel', '', ''),3
('ame', '', ''),3
('saul', '', ''),3
('constantinople', '', ''),3
('', 'hoftie', ''),3
('', 'befoin', ''),3
('', 'toute', ''),3
('', 'elt', 'dire'),3
('', '', 'sorcieres'),3
('', 'diables', ''),3
('', 'ges', ''),3
('', '', 'lb'),3
('', 'lb', ''),3
('', 'iln', ''),3
('parties', 'honteufes', ''),3
('religion', '', ''),3
('', '', 'tre'),3
('femmes', '', ''),3
('cho', '', ''),3
('grand', 'nombre', ''),3
('', 'oi', ''),3
('', 'anm', ''),3
('anm', '', ''),3
('', 'plu', ''),3
('', '', 'ac'),3
('', '', 'sd'),3
('nuict', '', ''),3
('', '', 'iln'),3
('trou', '', ''),3
('biens', '', ''),3
('', 'ns', ''),3
('', 'fair', ''),3
('', 'efcrire', ''),3
('', '', 'sathan'),3
('', 'po', ''),3
('po', '', ''),3
('', 'long', 'temps'),3
('dicu', '', ''),3
('dieu', '', 'ains'),3
('dict', '', ''),3
('renoncer', 'dieu', ''),3
('', 'hi', ''),3
('', '', 'om'),3
('', 'om', ''),3
('', '', 'quelques'),3
('ble', '', ''),3
('we', '', ''),3
('', '', 'con'),3
('', '', 'confefla'),3
('confefla', '', ''),3
('', '', 'lequel'),3
('pro', '', ''),3
('', '', 'lo'),3
('', '', 'voyant'),3
('', 'hôme', ''),3
('voir', '', ''),3
('', '', 'it'),3
('figure', 'humaine', ''),3
('', '', 'foudain'),3
('', '', 'eftoyent'),3
('foy', '', ''),3
('main', '', ''),3
('', 'lu', ''),3
('', 'ó', ''),3
('ó', '', ''),3
('', '', 'nt'),3
('', 'forte', ''),3
('', 'alors', ''),3
('', 'experience', ''),3
('', 'ioin', ''),3
('ventre', 'mere', ''),3
('spranger', '', ''),3
('humaine', '', ''),3
('', 'humaines', ''),3
('', 'parles', ''),3
('', 'fem', ''),3
('', '', 'sr'),3
('', 'ca', ''),3
('', 'confeffa', ''),3
('', 'hiftoi', ''),3
('', 'certaine', ''),3
('', 'aage', 'douze'),3
('', '', 've'),3
('', 've', ''),3
('', '', 'pes'),3
('pes', '', ''),3
('', 'nd', ''),3
('sd', '', ''),3
('', '', 'em'),3
('he', '', ''),3
('', 'nn', ''),3
('', 'ble', ''),3
('', '', 'pt'),3
('', 'pt', ''),3
('pt', '', ''),3
('', 'pet', ''),3
('pet', '', ''),3
('st', '', ''),3
('', 'í', ''),3
('í', '', ''),3
('', '', 'corps'),3
('cy', '', ''),3
('sorcieres', '', ''),3
('', '', 'confeffa'),3
('', 'bruflee', 'toute'),3
('toute', 'viue', ''),3
('dieu', 'dict', ''),3
('', 'grefles', ''),3
('village', '', ''),3
('', 'procés', ''),3
('moyen', '', ''),3
