token_,count
('', '', 'ila'),3
('', 'ila', 'efté'),3
('', 'anw', ''),3
('', 'iln', ''),3
('bo', '', ''),3
('', 'plusieurs', ''),3
('plusieurs', '', ''),3
('choses', 'occultes', ''),3
('', 'elt', 'dire'),3
('elt', 'dire', ''),3
('', 'quatre', ''),3
('', 'diabolique', ''),3
('celle', '', 'cy'),3
('dieu', '', 'quand'),3
('vifion', '', ''),3
('imagination', '', ''),3
('moyfe', '', ''),3
('louër', 'dieu', ''),3
('', 'parfonge', ''),3
('', 'vifion', ''),3
('', 'femblables', ''),3
('', 'ans', ''),3
('veritable', '', ''),3
('', 'prophetes', ''),3
('', 'roy', ''),3
('', '', 'hebrieux'),3
('', 'res', ''),3
('vrim', '', ''),3
('', '', 'samuel'),3
('ennemis', '', ''),3
('', '', 'foient'),3
('', 'faut', ''),3
('moyens', 'naturels', ''),3
('monde', '', ''),3
('', 'matiere', ''),3
('matiere', '', ''),3
('', 'lumieres', 'celeftes'),3
('', '', 'experience'),3
('', '', 'là'),3
('', 'dignitez', ''),3
('', '', 'inclination'),3
('', 'inclination', 'naturelle'),3
('', 'illicites', ''),3
('', 'elles', ''),3
('', 'recite', ''),3
('', 'naturelles', ''),3
('moyens', 'illicites', ''),3
('', '', 'fort'),3
('verbe', '', ''),3
('', 'fignifie', ''),3
