token_,count
('folennelles', ''),3
('phi', ''),3
('fu', ''),3
('', 'ons'),3
('quec', ''),3
('petits', 'enfans'),3
('difant', 'quelques'),3
('', 'eglife'),3
('', 'yauoit'),3
('', 'pouuoit'),3
('', 'aufh'),3
('furieux', ''),3
('', 'fimple'),3
('nou', ''),3
('', 'apert'),3
('bien', 'noter'),3
('quelconque', ''),3
('demeurent', ''),3
('ds', ''),3
('caldeans', ''),3
('', 'entendoit'),3
('cel', ''),3
('', 'ongle'),3
('deteftables', ''),3
('', 'mettoit'),3
('ceres', ''),3
('', 'autát'),3
('vertu', 'paroles'),3
('œil', ''),3
('elcript', ''),3
('confeflerent', ''),3
('ori', ''),3
('rt', ''),3
('non', 'feulement'),3
('', 'crainte'),3
('cabale', ''),3
('vifion', ''),3
('', 'leon'),3
('', 'quifont'),3
('dedieu', ''),3
('', 'bles'),3
('', 'oril'),3
('', 'maisil'),3
('nom', 'dieu'),3
('horreur', ''),3
('enlaloy', 'dieu'),3
('', 'der'),3
('moral', ''),3
('semble', ''),3
('', 'iceluy'),3
('mar', ''),3
('did', ''),3
('', 'principalement'),3
('', 'uc'),3
('', 'ftre'),3
('', 'teurs'),3
('pure', ''),3
('parole', 'dieu'),3
('coche', ''),3
('rome', ''),3
('', 'soir'),3
('pui', ''),3
('', 'pouren'),3
('', 'dira'),3
('prince', 'mirande'),3
('feule', ''),3
('', 'àla'),3
('', 'os'),3
('os', ''),3
('', 'lé'),3
('', 'af'),3
('remarqué', ''),3
('', 'outreles'),3
('', 'meres'),3
('demanda', ''),3
('contraire', ''),3
('', 'prefque'),3
('fou', ''),3
('iugement', ''),3
('', 'cu'),3
('corps', 'mort'),3
('constantinople', ''),3
('', 'ayt'),3
('meurtriers', ''),3
('', 'fft'),3
('iugemens', ''),3
('elt', 'dire'),3
('tire', ''),3
('', 'lb'),3
('lb', ''),3
('fureur', ''),3
('', 'auantage'),3
('vé', ''),3
('', 'ouuent'),3
('ant', ''),3
('', 'lance'),3
('', 'ruiner'),3
('', 'oi'),3
('oi', ''),3
('', 'anm'),3
('anm', ''),3
('', 'pl'),3
('biens', ''),3
('', 'double'),3
('', 'teur'),3
('fair', ''),3
('efcrire', ''),3
('', 'cut'),3
('', 'quesfois'),3
('', 'go'),3
('', 'leiour'),3
('affemblées', ''),3
('', 'lant'),3
('renoncer', 'dieu'),3
('', 'om'),3
('om', ''),3
('personnes', ''),3
('', 'aes'),3
('', 'home'),3
('', 'hôme'),3
('hôme', ''),3
('grefle', ''),3
('dessorciers', ''),3
('difparut', ''),3
('veri', ''),3
('', 'quc'),3
('', 'fent'),3
('', 'ouil'),3
('', 'sn'),3
('', 'mence'),3
('hômes', ''),3
('', 'trouuoit'),3
('compagnon', ''),3
('grand', 'bouc'),3
('', 'bruflé'),3
('ó', ''),3
('maifon', ''),3
('executions', ''),3
('pou', ''),3
('', 'nt'),3
('', 'st'),3
('for', ''),3
('coulongne', ''),3
('moment', ''),3
('liuonie', ''),3
('', 'tc'),3
('raifons', ''),3
('morte', ''),3
('', 'experience'),3
('experience', ''),3
('nantes', ''),3
('', 'ioin'),3
('ioin', ''),3
('ventre', 'mere'),3
('spranger', ''),3
('', 'humaines'),3
('humaines', ''),3
('', 'fem'),3
('', 'sr'),3
('', 'ca'),3
('', 'commeiay'),3
('', 'hiftoi'),3
('douze', 'ans'),3
('aage', 'douze'),3
('gne', ''),3
('é', ''),3
('fer', ''),3
('', 'ul'),3
('ui', ''),3
('', 'nn'),3
('nn', ''),3
('pet', ''),3
('st', ''),3
('í', ''),3
('neron', ''),3
('bruflee', 'toute'),3
('toute', 'viue'),3
('senlis', ''),3
('froide', ''),3
('allemaigne', ''),3
('dieu', 'dict'),3
('', 'auquel'),3
('', 'fentoit'),3
('', 'grefles'),3
('grefles', ''),3
('ruiner', ''),3
('crapaux', ''),3
('crapaut', ''),3
