token_,count
('', 'trc'),3
('aage', ''),3
('condam', ''),3
('', 'tions'),3
('confeflions', ''),3
('', 'prife'),3
('', 'cauoir'),3
('prendre', 'garde'),3
('dece', ''),3
('bieure', ''),3
('', 'combié'),3
('', 'meurent'),3
('', 'quien'),3
('', 'ha'),3
('', 'ets'),3
('torture', ''),3
('', 'parce'),3
('', 'out'),3
('ia', ''),3
('', 'innocent'),3
('innocent', ''),3
('', 'ceft'),3
('', 'ena'),3
('', 'table'),3
('', 'difons'),3
('', 'feconde'),3
('', 'ptions'),3
('', 'voire'),3
('', 'rité'),3
('', 'foldat'),3
('hi', ''),3
('', 'cad'),3
('ot', ''),3
('', 'ylt'),3
('ylt', ''),3
('receuable', ''),3
('enla', 'loy'),3
('crapaux', ''),3
('doibt', 'proceder'),3
('', 'carl'),3
('carl', ''),3
('mai', ''),3
('', 'of'),3
('of', ''),3
('', 'auf'),3
('parolles', ''),3
('foit', 'mis'),3
('', 'ang'),3
('ang', ''),3
('', 'qualiter'),3
('', 'fair'),3
('', 'fomption'),3
('alex', ''),3
('teímoings', ''),3
('balde', ''),3
('', 'mement'),3
('cas', 'ciuil'),3
('', 'ru'),3
('alexand', ''),3
('teft', ''),3
('hb', ''),3
('reproches', ''),3
('', 'iniure'),3
('porte', ''),3
('non', 'feulement'),3
('', 'quine'),3
('', 'aufh'),3
('', 'rent'),3
('veau', ''),3
('', 'benedi'),3
('benedi', ''),3
('droict', ''),3
('', 'ainsau'),3
('', 'ez'),3
('ez', ''),3
('fuf', ''),3
('mott', ''),3
('tué', 'pere'),3
('faux', ''),3
('diuifer', ''),3
('', 'apparence'),3
('', 'clle'),3
('peine', 'capitale'),3
('confef', ''),3
('', 'ons'),3
('', 'cx'),3
('', 'ed'),3
('', 'tenu'),3
('', 'cores'),3
('', 'pes'),3
('contre', 'nature'),3
('diuines', ''),3
('naturelle', ''),3
('ciel', ''),3
('', 'beftes'),3
('', 'efcripture'),3
('iln', ''),3
('faber', ''),3
('eurs', ''),3
('', 'rum'),3
('', 'rats'),3
('meurent', ''),3
('', 'ms'),3
('', 'pouuoit'),3
('presomption', 'droit'),3
('presomption', 'droi'),3
('rai', ''),3
('', 'lon'),3
('lon', ''),3
('có', ''),3
('', 'felin'),3
('num', ''),3
('', 'fed'),3
('', 'panorm'),3
('panorm', ''),3
('', 'età'),3
('', 'carc'),3
('carc', ''),3
('pieds', ''),3
('', 'delaquelle'),3
('ofter', ''),3
('capita', ''),3
('ges', ''),3
('mont', ''),3
('fortileges', ''),3
('', 'duquel'),3
('', 'carle'),3
('', 'lm'),3
('lm', ''),3
('pal', ''),3
('', 'ieune'),3
('fem', ''),3
('', 'ordonnance'),3
('af', ''),3
('', 'dé'),3
('dedieu', ''),3
('', 'ordonnances'),3
('tefmoing', 'reproche'),3
('ed', ''),3
('authent', ''),3
('', 'las'),3
('crimes', 'atroces'),3
('atroces', ''),3
('', 'mefmemét'),3
('tm', ''),3
('', 'eau'),3
('eau', ''),3
('presomptions', 'violentes'),3
('', 'penfent'),3
('directement', 'contre'),3
('contre', 'majefté'),3
('majefté', 'dieu'),3
('homicides', ''),3
('', 'vengeance'),3
('rigeur', ''),3
('renier', 'dieu'),3
('religion', ''),3
('dedicu', ''),3
('', 'tre'),3
('', 'double'),3
('', 'idolatrie'),3
('merite', 'mort'),3
('an', 'mil'),3
('mil', 'cinq'),3
('quela', 'peine'),3
('', 'did'),3
('cour', ''),3
('', 'lifons'),3
('', 'bles'),3
('', 'epi'),3
('epi', ''),3
('violétes', ''),3
('', 'puisapres'),3
('peine', 'corporelle'),3
('fic', ''),3
('', 'amende'),3
('coulpable', ''),3
('capitalement', ''),3
('effect', ''),3
('pecuniaires', ''),3
('', 'nommé'),3
('', 'blables'),3
('pardon', ''),3
('', 'obeir'),3
('obeir', ''),3
