token_,count
('regions', 'moyennes'),3
('grace', 'bien'),3
('latins', ''),3
('mil', 'hommes'),3
('peuples', 'deseptentrion'),3
('danube', ''),3
('prouinces', ''),3
('', 'etcombien'),3
('efcoffois', ''),3
('neant', ''),3
('mofchouites', ''),3
('', 'vigueur'),3
('quarante', 'ans'),3
('grec', ''),3
('quelque', 'temps'),3
('aufli', 'voyons'),3
('moderees', ''),3
('paffions', ''),3
('peuples', 'metoyens'),3
('aduantage', ''),3
('', 'côme'),3
('maifon', 'france'),3
('parl', ''),3
('prin', ''),3
('milan', ''),3
('', 'refolu'),3
('', 'debuoit'),3
('natu', ''),3
('nombre', 'infini'),3
('', 'auuergne'),3
('', 'ions'),3
('noire', ''),3
('', 'autát'),3
('', 'iointaufli'),3
('gardes', ''),3
('', 'efpai'),3
('efpai', ''),3
('caligula', ''),3
('', 'pouuoiét'),3
('thrace', ''),3
('trois', 'iours'),3
('alman', ''),3
('', 'ftes'),3
('maroc', ''),3
('', 'tua'),3
('', 'lie'),3
('', 'ayt'),3
('mufique', ''),3
('ceftui', ''),3
('numides', ''),3
('', 'quifut'),3
('chan', ''),3
('', 'nu'),3
('', 'humide'),3
('humide', ''),3
('cinquante', 'ans'),3
('mefchant', ''),3
('prend', 'garde'),3
('naturel', 'peuple'),3
('', 'efpee'),3
('', 'chaffe'),3
('chaffe', ''),3
('', 'mettant'),3
('we', ''),3
('vaut', 'beaucoup'),3
('paroles', ''),3
('és', 'hiftoires'),3
('cas', 'pa'),3
('plai', ''),3
('difference', 'bien'),3
('grande', 'peuples'),3
('', 'eftablir'),3
('', 'demeurant'),3
('', 'foible'),3
('foible', ''),3
('', 'ille'),3
('', 'change'),3
('', 'tion'),3
('languedoc', ''),3
('', 'uent'),3
('florence', ''),3
('foubsl', ''),3
('', 'iaçoit'),3
('obli', ''),3
('', 'rebelles'),3
('plat', 'pays'),3
('mar', ''),3
('fins', ''),3
('', 'nez'),3
('rend', 'hommes'),3
('couars', ''),3
('fterile', ''),3
('', 'voudra'),3
('', 'maigne'),3
('couftu', ''),3
('', 'ileft'),3
('ceftuy', ''),3
('bien', 'peuple'),3
('', 'pouuoient'),3
('', 'geneuois'),3
('roy', 'charle'),3
('os', ''),3
('', 'ainsauffi'),3
('richeffes', ''),3
('thomas', 'more'),3
('feu', ''),3
('egale', ''),3
('', 'tantoft'),3
('durable', ''),3
('telles', 'abolitions'),3
('', 'abolition'),3
('coftez', ''),3
('', 'iointauffi'),3
('', 'efpere'),3
('milefien', ''),3
('trois', 'estats'),3
('deuant', 'yeux'),3
('', 'ues'),3
('famille', ''),3
('', 'fant'),3
('corinthe', ''),3
('defen', ''),3
('', 'uoient'),3
('', 'fuyuant'),3
('', 'aineeffe'),3
('', 'aliener'),3
('entre', 'vifs'),3
('laloy', 'dieu'),3
('iniufte', ''),3
('', 'vfoient'),3
('haut', 'poinét'),3
('quatre', 'cinq'),3
('', 'oril'),3
('', 'iufquesà'),3
('entreux', ''),3
('', 'hi'),3
('', 'ccc'),3
('domaine', 'republique'),3
('bien', 'executee'),3
('', 'maine'),3
('maine', ''),3
('fils', 'aifné'),3
('', 'monne'),3
('monne', ''),3
('demembrees', ''),3
('', 'colleges'),3
('rotu', ''),3
('', 'armenie'),3
('armenie', ''),3
('', 'oa'),3
('', 'amour'),3
('foit', 'és'),3
('abfolu', ''),3
('', 'ilfe'),3
('dix', 'milliures'),3
('phi', ''),3
('mil', 'efcus'),3
('prisonnier', ''),3
('pren', ''),3
('effe', ''),3
('contraires', ''),3
('vtile', ''),3
('ven', ''),3
('cer', ''),3
('faut', 'efperer'),3
('efperer', ''),3
('droi', ''),3
('', 'pourfaire'),3
('iamais', 'faute'),3
('', 'fouciant'),3
('', 'craignant'),3
('', 'ainsil'),3
('', 'hôneur'),3
('cein', ''),3
('', 'eftoile'),3
('oüan', ''),3
('toifon', ''),3
('', 'college'),3
('college', ''),3
('roy', 'françois'),3
('bien', 'cher'),3
('', 'bencfices'),3
('', 'aifé'),3
('lequel', 'voyant'),3
('entendu', ''),3
('monftré', 'cy'),3
('cy', 'deffus'),3
('', 'efpargne'),3
('efpargne', ''),3
('', 'enne'),3
('enne', ''),3
('', 'iacoit'),3
('iacoit', ''),3
('sil', 'bon'),3
('forterefle', ''),3
('bataille', 'contre'),3
('capitol', ''),3
('', 'ayde'),3
('', 'vfer'),3
('faire', 'tefte'),3
('offenfiues', ''),3
('', 'lant'),3
('', 'yne'),3
('entré', 'pays'),3
('roy', 'pirrhus'),3
('magnanime', ''),3
('gens', 'guerre'),3
('fecours', 'alliez'),3
('ligue', 'offenfiue'),3
