document,term,tfidf
Harangue - Fontainebleau_corrected,ajouta,0.07305332620773113
Harangue - Fontainebleau_corrected,alarmerent,0.07305332620773113
Harangue - Fontainebleau_corrected,alarmés,0.07305332620773113
Harangue - Fontainebleau_corrected,alié,0.07305332620773113
Harangue - Fontainebleau_corrected,appovri,0.07305332620773113
Harangue - Fontainebleau_corrected,assembleroient,0.07305332620773113
Harangue - Fontainebleau_corrected,avenir,0.07305332620773113
Harangue - Fontainebleau_corrected,bulletin,0.07305332620773113
Harangue - Fontainebleau_corrected,cablé,0.07305332620773113
Harangue - Fontainebleau_corrected,connoitre,0.07305332620773113
Harangue - Fontainebleau_corrected,connue,0.07305332620773113
Harangue - Fontainebleau_corrected,convo,0.07305332620773113
Harangue - Fontainebleau_corrected,convoqueroit,0.07305332620773113
Harangue - Fontainebleau_corrected,descovrir,0.07305332620773113
Harangue - Fontainebleau_corrected,direction,0.07305332620773113
Harangue - Orléans 2_corrected,roy,0.3010670055456535
Harangue - Orléans 2_corrected,gabelles,0.20537422633373398
Harangue - Orléans 2_corrected,despenses,0.18235134253173463
Harangue - Orléans 2_corrected,estats,0.16152777973858398
Harangue - Orléans 2_corrected,estat,0.1259769358787282
Harangue - Orléans 2_corrected,subvenir,0.1232245358002404
Harangue - Orléans 2_corrected,lesdicts,0.12113965443329609
Harangue - Orléans 2_corrected,aultres,0.11913159250879667
Harangue - Orléans 2_corrected,harangues,0.11402768688797062
Harangue - Orléans 2_corrected,millions,0.11199520479080344
Harangue - Orléans 2_corrected,faire,0.10947891110751036
Harangue - Orléans 2_corrected,estoient,0.1079802307531956
Harangue - Orléans 2_corrected,royaulme,0.1039964439385303
Harangue - Orléans 2_corrected,aydes,0.10392872872033997
Harangue - Orléans 2_corrected,trois,0.09932916485723714
Harangue - Orléans 2_corrected,royne,0.0980427496842867
Harangue - Orléans 2_corrected,tailles,0.09085474082497207
Harangue - Orléans 2_corrected,remons,0.08825706878812924
Harangue - Orléans 2_corrected,six,0.08574363547903044
Harangue - Orléans 2_corrected,où,0.08509399464914047
Harangue - Orléans 2_corrected,louis,0.08399640359310258
Harangue - Orléans 2_corrected,dict,0.08053068273640435
Harangue - Orléans 2_corrected,xii,0.07812145689047245
Harangue - Orléans 2_corrected,auxdicts,0.07715959915618652
Harangue - Orléans 2_corrected,prendroit,0.07715959915618652
Harangue - Orléans 2_corrected,ordre,0.07421010117182371
Harangue - Orléans 2_corrected,falloit,0.0729829351649481
Harangue - Orléans 2_corrected,temps,0.07222664868896593
Harangue - Orléans 2_corrected,chascung,0.0719868205021304
Harangue - Orléans 2_corrected,nécessité,0.07063631982451185
Harangue - Orléans 2_corrected,tel,0.06999607546044401
Harangue - Orléans 2_corrected,prince,0.06807519571931238
Harangue - Orléans 2_corrected,aulcung,0.06631078687653262
Harangue - Orléans 2_corrected,avoir,0.06442454618912348
Harangue - Orléans 2_corrected,advisé,0.06317844089225767
Harangue - Orléans 2_corrected,affaires,0.061002215886938826
Harangue - Orléans 2_corrected,chose,0.061002215886938826
Harangue - Orléans 2_corrected,faictes,0.060572917401969004
Harangue - Orléans 2_corrected,selon,0.060572917401969004
Harangue - Orléans 2_corrected,desdicts,0.060569827216648046
Harangue - Orléans_corrected,roy,0.2958312801064569
Harangue - Orléans_corrected,aultres,0.19477181259598247
Harangue - Orléans_corrected,harangues,0.1812487485886676
Harangue - Orléans_corrected,roys,0.1568995157023192
Harangue - Orléans_corrected,estats,0.15405052267010166
Harangue - Orléans_corrected,bien,0.11323976486444369
Harangue - Orléans_corrected,cause,0.11323976486444369
Harangue - Orléans_corrected,faire,0.10876150003913855
Harangue - Orléans_corrected,royaume,0.1068108523653975
Harangue - Orléans_corrected,sédition,0.105006763113028
Harangue - Orléans_corrected,subjects,0.10221811290414311
Harangue - Orléans_corrected,estre,0.0999939748790923
Harangue - Orléans_corrected,religion,0.0999939748790923
Harangue - Orléans_corrected,peuple,0.09216341946828502
Harangue - Orléans_corrected,nostre,0.08239553391382817
Harangue - Orléans_corrected,temps,0.07806764507722745
Harangue - Orléans_corrected,tenir,0.07437569739890959
Harangue - Orléans_corrected,royaumes,0.07358781627694692
Harangue - Orléans_corrected,armes,0.07231888964179431
Harangue - Orléans_corrected,prince,0.07033426565966035
Harangue - Orléans_corrected,séditions,0.07029616721532377
Harangue - Orléans_corrected,grand,0.06888321624461247
Harangue - Orléans_corrected,non,0.06888321624461247
Harangue - Orléans_corrected,paix,0.06675589813088706
