document,term,tfidf
Démonomanie I_corrected,malins,0.07015073760922132
Démonomanie I_corrected,void,0.06920974551031639
Démonomanie I_corrected,fignifie,0.06864622014585381
Démonomanie I_corrected,fonges,0.06733995866550876
Démonomanie I_corrected,mot,0.06660960180121088
Démonomanie I_corrected,nature,0.06660960180121088
Démonomanie I_corrected,entre,0.06564487650672234
Démonomanie I_corrected,ange,0.062405654678048914
Démonomanie I_corrected,faut,0.06001817280614613
Démonomanie preface Repair_corrected,sorciers,0.5086836165198899
Démonomanie preface Repair_corrected,esprits,0.14899138886792565
Démonomanie preface Repair_corrected,diable,0.13860781393983965
Démonomanie preface Repair_corrected,sorcieres,0.13776847947413684
Démonomanie preface Repair_corrected,dieu,0.13564984722457488
Démonomanie preface Repair_corrected,choses,0.11806643502180965
Démonomanie preface Repair_corrected,aristote,0.11617953751974489
Démonomanie preface Repair_corrected,corps,0.09947655463135491
Démonomanie preface Repair_corrected,faire,0.09043323148304992
Démonomanie preface Repair_corrected,bien,0.08500783321570293
Démonomanie preface Repair_corrected,lieu,0.08386108785596014
Démonomanie preface Repair_corrected,veu,0.08028517581483055
Démonomanie preface Repair_corrected,intelligences,0.06853183032995555
Démonomanie preface Repair_corrected,contre,0.06782492361228744
Démonomanie preface Repair_corrected,cens,0.06756026848322462
Démonomanie preface Repair_corrected,caufe,0.06454418751096938
Démonomanie preface Repair_corrected,cieux,0.06454418751096938
Démonomanie preface Repair_corrected,malings,0.06358545206498624
Démonomanie preface Repair_corrected,mouvement,0.06285467497953945
Démonomanie preface Repair_corrected,fupernaturelles,0.062260513258906774
Démonomanie preface Repair_corrected,phyficien,0.062260513258906774
Démonomanie preface Repair_corrected,homme,0.061394546211341015
Démonomanie preface Repair_corrected,nature,0.059196062015971856
Démonomanie preface Repair_corrected,voit,0.058884733771016544
Démonomanie preface Repair_corrected,esprit,0.05801456325062449
Démonomanie preface Repair_corrected,plusieurs,0.05668979556371083
Démonomanie preface Repair_corrected,faut,0.05667188881046863
Démonomanie preface Repair_corrected,demonftre,0.054927009262937684
Démonomanie preface Repair_corrected,preface,0.054927009262937684
Démonomanie preface Repair_corrected,monde,0.05426305684797421
La réponse_corrected,souz,0.32908622893249573
La réponse_corrected,escuz,0.2961776060392462
La réponse_corrected,argent,0.2631916880827363
La réponse_corrected,monnoye,0.1593557366354895
La réponse_corrected,deniers,0.14082599981740931
La réponse_corrected,cens,0.1356975403908942
La réponse_corrected,liures,0.13141089545957252
La réponse_corrected,pois,0.13141089545957252
La réponse_corrected,pris,0.11263991905709611
La réponse_corrected,peuple,0.10384289435299432
La réponse_corrected,mil,0.10247772379145136
La réponse_corrected,trois,0.09595252364123003
La réponse_corrected,bien,0.095854979402764
La réponse_corrected,monnoyes,0.08962383181998937
La réponse_corrected,dix,0.08934763509529968
La réponse_corrected,pays,0.08808436832391378
La réponse_corrected,peu,0.08786706445253364
La réponse_corrected,cinq,0.0871684244832192
La réponse_corrected,denier,0.0851426402289899
La réponse_corrected,choses,0.07987914950230332
La réponse_corrected,an,0.07926512822536394
La réponse_corrected,poiffon,0.0788465372757435
La réponse_corrected,douze,0.07618107530716868
La réponse_corrected,billon,0.07548424456646427
La réponse_corrected,erain,0.07359010145736061
La réponse_corrected,efcu,0.0724468219892176
La réponse_corrected,roy,0.07191395019865583
La réponse_corrected,fix,0.06973473958657536
La réponse_corrected,maleftroit,0.06967776421519778
La réponse_corrected,ainfi,0.06833366563897772
Le paradoxe_corrected,bien,0.3554811192769832
Le paradoxe_corrected,dieu,0.26708168234639623
Le paradoxe_corrected,vertus,0.20243052155855215
Le paradoxe_corrected,vertu,0.14466656822058122
Le paradoxe_corrected,paradoxe,0.13732086235841648
Le paradoxe_corrected,git,0.13135039008196359
Le paradoxe_corrected,pourquoy,0.12360243216271373
Le paradoxe_corrected,sapience,0.12204263328670842
Le paradoxe_corrected,homme,0.11849370642566108
Le paradoxe_corrected,souverain,0.11088657453377515
Le paradoxe_corrected,vices,0.1092351125017753
Le paradoxe_corrected,foit,0.10872351670738255
Le paradoxe_corrected,mal,0.10615061200632138
Le paradoxe_corrected,prudence,0.10533385848385475
Le paradoxe_corrected,choses,0.09380751758698168
